銘柄名,銘柄コード,市場
ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）,2092.T,JP
上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）,2093.T,JP
東証ＲＥＩＴインバースＥＴＦ,2094.T,JP
グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）,2095.T,JP
グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,2096.T,JP
グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ,2097.T,JP
グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ,2098.T,JP
小野谷機工,209A.T,JP
東洋精糖,2107.T,JP
日本甜菜製糖,2108.T,JP
ＤＭ三井製糖ホールディングス,2109.T,JP
ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数,210A.T,JP
塩水港精糖,2112.T,JP
フジ日本,2114.T,JP
ウェルネオシュガー,2117.T,JP
カドス・コーポレーション,211A.T,JP
ＬＩＦＵＬＬ,2120.T,JP
ＭＩＸＩ,2121.T,JP
インタースペース,2122.T,JP
ジェイエイシーリクルートメント,2124.T,JP
日本Ｍ＆Ａセンターホールディングス,2127.T,JP
フィットイージー,212A.T,JP
メンバーズ,2130.T,JP
北浜キャピタルパートナーズ,2134.T,JP
ヒップ,2136.T,JP
クルーズ,2138.T,JP
中広,2139.T,JP
上場インデックスファンド日経半導体株,213A.T,JP
ＵＴグループ,2146.T,JP
アイティメディア,2148.T,JP
ケアネット,2150.T,JP
幼児活動研究会,2152.T,JP
Ｅ・Ｊホールディングス,2153.T,JP
オープンアップグループ,2154.T,JP
セーラー広告,2156.T,JP
コシダカホールディングス,2157.T,JP
ＦＲＯＮＴＥＯ,2158.T,JP
タイミー,215A.T,JP
ジーエヌアイグループ,2160.T,JP
ｎｍｓ　ホールディングス,2162.T,JP
アルトナー,2163.T,JP
地域新聞社,2164.T,JP
パソナグループ,2168.T,JP
ＣＤＳ,2169.T,JP
ライフクリエイト,216A.T,JP
リンクアンドモチベーション,2170.T,JP
博展,2173.T,JP
エス・エム・エス,2175.T,JP
成学社,2179.T,JP
サポート,217A.T,JP
サニーサイドアップグループ,2180.T,JP
パーソルホールディングス,2181.T,JP
リニカル,2183.T,JP
シイエム・シイ,2185.T,JP
ソーバル,2186.T,JP
Ｌｉｂｅｒａｗａｒｅ,218A.T,JP
クックパッド,2193.T,JP
アミタホールディングス,2195.T,JP
エスクリ,2196.T,JP
アイ・ケイ・ケイホールディングス,2198.T,JP
Ｈｅａｒｔｓｅｅｄ,219A.T,JP
森永製菓,2201.T,JP
中村屋,2204.T,JP
江崎グリコ,2206.T,JP
名糖産業,2207.T,JP
ブルボン,2208.T,JP
井村屋グループ,2209.T,JP
Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,220A.T,JP
不二家,2211.T,JP
山崎製パン,2212.T,JP
第一屋製パン,2215.T,JP
カンロ,2216.T,JP
モロゾフ,2217.T,JP
ＭＡＸＩＳ日経半導体株上場投信,221A.T,JP
亀田製菓,2220.T,JP
岩塚製菓,2221.T,JP
寿スピリッツ,2222.T,JP
コモ,2224.T,JP
湖池屋,2226.T,JP
カルビー,2229.T,JP
ＮＩＣＳ,222A.T,JP
上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,2235.T,JP
グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ,2236.T,JP
ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ,2237.T,JP
ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース,2238.T,JP
上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍,2239.T,JP
グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ,223A.T,JP
上場インデックスファンドＳ＆Ｐ５００先物インバース,2240.T,JP
ＭＡＸＩＳ　ＮＹダウ上場投信,2241.T,JP
ＭＡＸＩＳ　ＮＹダウ上場投信（為替ヘッジあり）,2242.T,JP
グローバルＸ　半導体　ＥＴＦ,2243.T,JP
グローバルＸ　ＵＳ　テック・トップ２０　ＥＴＦ,2244.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・ドイツ国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,2245.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・フランス国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,2246.T,JP
ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジなし）,2247.T,JP
ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジあり）,2248.T,JP
ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルインバース,2249.T,JP
グローバルＸ　ウラニウムビジネス　ＥＴＦ,224A.T,JP
ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ,2250.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ国債先物ダブルインバース指数連動型上場投信,2251.T,JP
グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　米国中小型　Ｍｏａｔ　ＥＴＦ,2252.T,JP
グローバルＸ　スーパーディビィデンド－ＵＳ　ＥＴＦ,2253.T,JP
グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ,2254.T,JP
ｉシェアーズ　米国債２０年超　ＥＴＦ,2255.T,JP
ｉシェアーズ　米国総合債券　ＥＴＦ,2256.T,JP
ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ,2257.T,JP
ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ,2258.T,JP
ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）,2259.T,JP
森永乳業,2264.T,JP
六甲バター,2266.T,JP
ヤクルト本社,2267.T,JP
Ｂ－Ｒ　サーティワン　アイスクリーム,2268.T,JP
明治ホールディングス,2269.T,JP
勝美ジャパン,226A.T,JP
雪印メグミルク,2270.T,JP
ＩＮＳＩＧＨＴ　ＬＡＢ,227A.T,JP
プリマハム,2281.T,JP
日本ハム,2282.T,JP
林兼産業,2286.T,JP
丸大食品,2288.T,JP
オプロ,228A.T,JP
福留ハム,2291.T,JP
Ｓ　Ｆｏｏｄｓ,2292.T,JP
滝沢ハム,2293.T,JP
柿安本店,2294.T,JP
伊藤ハム米久ホールディングス,2296.T,JP
アスミホールディングス,229A.T,JP
きょくとう,2300.T,JP
学情,2301.T,JP
ドーン,2303.T,JP
ＣＳＳホールディングス,2304.T,JP
スタジオアリス,2305.T,JP
クロスキャット,2307.T,JP
エプコ,2311.T,JP
ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,2315.T,JP
システナ,2317.T,JP
ソフトフロントホールディングス,2321.T,JP
ｆｏｎｆｕｎ,2323.T,JP
ＮＪＳ,2325.T,JP
デジタルアーツ,2326.T,JP
日鉄ソリューションズ,2327.T,JP
東北新社,2329.T,JP
フォーサイド,2330.T,JP
綜合警備保障,2331.T,JP
クエスト,2332.T,JP
イオレ,2334.T,JP
キューブシステム,2335.T,JP
いちご,2337.T,JP
クオンタムソリューションズ,2338.T,JP
ｉＦｒｅｅＥＴＦ　インドＮｉｆｔｙ５０,233A.T,JP
極楽湯ホールディングス,2340.T,JP
アルバイトタイムス,2341.T,JP
トランスジェニックグループ,2342.T,JP
平安レイサービス,2344.T,JP
クシム,2345.T,JP
エヌアイデイ,2349.T,JP
グローバルＸ　ＭＳＣＩ　キャッシュフローキング－日本株式　ＥＴＦ,234A.T,JP
ＡＳＪ,2351.T,JP
日本駐車場開発,2353.T,JP
ＹＥ　ＤＩＧＩＴＡＬ,2354.T,JP
コア,2359.T,JP
グローバルＸ　高配当３０－日本株式　ＥＴＦ,235A.T,JP
ｉシェアーズ　日本国債７－１０年　ＥＴＦ,236A.T,JP
メディネット,2370.T,JP
カカクコム,2371.T,JP
アイロムグループ,2372.T,JP
ケア２１,2373.T,JP
セントケア・ホールディング,2374.T,JP
ギグワークス,2375.T,JP
サイネックス,2376.T,JP
ルネサンス,2378.T,JP
ディップ,2379.T,JP
ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ,237A.T,JP
ＳＢＳホールディングス,2384.T,JP
総医研ホールディングス,2385.T,JP
ウェッジホールディングス,2388.T,JP
デジタルホールディングス,2389.T,JP
ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ（為替ヘッジあり）,238A.T,JP
プラネット,2391.T,JP
日本ケアサプライ,2393.T,JP
新日本科学,2395.T,JP
ＤＮＡチップ研究所,2397.T,JP
バレッグス,239A.T,JP
鉄人化ホールディングス,2404.T,JP
ＫＧ情報,2408.T,JP
キャリアデザインセンター,2410.T,JP
ゲンダイエージェンシー,2411.T,JP
エムスリー,2413.T,JP
ヒューマンホールディングス,2415.T,JP
ツカダ・グローバルホールディング,2418.T,JP
ＲＯＸＸ,241A.T,JP
ブラス,2424.T,JP
ケアサービス,2425.T,JP
ウェルネット,2428.T,JP
ワールドホールディングス,2429.T,JP
ディー・エヌ・エー,2432.T,JP
博報堂ＤＹホールディングス,2433.T,JP
シダー,2435.T,JP
共同ピーアール,2436.T,JP
Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,2437.T,JP
アスカネット,2438.T,JP
トップス,243A.T,JP
ぐるなび,2440.T,JP
タカミヤ,2445.T,JP
プラップジャパン,2449.T,JP
グロースエクスパートナーズ,244A.T,JP
コンピュータマインド,2452.T,JP
オールアバウト,2454.T,JP
アウンコンサルティング,2459.T,JP
ＩＮＧＳ,245A.T,JP
ファンコミュニケーションズ,2461.T,JP
ライク,2462.T,JP
Ａｏｂａ‐ＢＢＴ,2464.T,JP
ヒビノ,2469.T,JP
アスア,246A.T,JP
エスプール,2471.T,JP
ＷＤＢホールディングス,2475.T,JP
手間いらず,2477.T,JP
ジェイテック,2479.T,JP
Ａｉロボティクス,247A.T,JP
システム・ロケーション,2480.T,JP
タウンニュース社,2481.T,JP
翻訳センター,2483.T,JP
出前館,2484.T,JP
ティア,2485.T,JP
ＪＴＰ,2488.T,JP
アドウェイズ,2489.T,JP
キッズスター,248A.T,JP
バリューコマース,2491.T,JP
インフォマート,2492.T,JP
イーサポートリンク,2493.T,JP
ユナイテッド,2497.T,JP
オリエンタルコンサルタンツホールディングス,2498.T,JP
日本和装ホールディングス,2499.T,JP
ヒューマンアジャスト,249A.T,JP
サッポロホールディングス,2501.T,JP
アサヒグループホールディングス,2502.T,JP
キリンホールディングス,2503.T,JP
シマダヤ,250A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　国内債券・ＮＯＭＵＲＡ－ＢＰＩ総合連動型上場投信,2510.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,2511.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信,2512.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信,2513.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信,2514.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信,2515.T,JP
東証グロース２５０ＥＴＦ,2516.T,JP
ＭＡＸＩＳ　Ｊリート・コア上場投信,2517.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩ日本株女性活躍指数（セレクト）連動型上場投信,2518.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　新興国債券・Ｊ．Ｐ．モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信,2519.T,JP
ニューロマジック,251A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　新興国株式・ＭＳＣＩエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信,2520.T,JP
上場インデックスファンド米国株式（Ｓ＆Ｐ５００）為替ヘッジあり,2521.T,JP
ｉシェアーズ　オートメーション　＆　ロボット　ＥＴＦ,2522.T,JP
ＭＡＸＩＳトピックス（除く金融）上場投信,2523.T,JP
ＮＺＡＭ　上場投信　ＴＯＰＩＸ,2524.T,JP
ＮＺＡＭ　上場投信　日経２２５,2525.T,JP
ＮＺＡＭ　上場投信　ＪＰＸ日経４００,2526.T,JP
ＮＺＡＭ　上場投信　東証ＲＥＩＴ　Ｃｏｒｅ指数,2527.T,JP
ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ　Ｃｏｒｅ指数,2528.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　野村株主還元７０連動型上場投信,2529.T,JP
ウェッジ,252A.T,JP
ＭＡＸＩＳ　ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信,2530.T,JP
宝ホールディングス,2531.T,JP
オエノンホールディングス,2533.T,JP
ＥＴＳグループ,253A.T,JP
養命酒製造,2540.T,JP
ＡＩフュージョンキャピタルグループ,254A.T,JP
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）,2552.T,JP
Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００,2553.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国投資適格社債（１－１０年）インデックス（為替ヘッジあり）連動型上場投信,2554.T,JP
東証ＲＥＩＴ　ＥＴＦ,2555.T,JP
Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数,2556.T,JP
ＳＭＤＡＭ　トピックス上場投信,2557.T,JP
ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信,2558.T,JP
ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信,2559.T,JP
ジーエルテクノホールディングス,255A.T,JP
ＭＡＸＩＳカーボン・エフィシェント日本株上場投信,2560.T,JP
ｉシェアーズ・コア　日本国債　ＥＴＦ,2561.T,JP
上場インデックスファンド米国株式（ダウ平均）為替ヘッジあり,2562.T,JP
ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）,2563.T,JP
グローバルＸ　ＭＳＣＩスーパーディビィデンド－日本株式　ＥＴＦ,2564.T,JP
グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ,2565.T,JP
上場インデックスファンド日経ＥＳＧリート,2566.T,JP
ＮＺＡＭ　上場投信　Ｓ＆Ｐ／ＪＰＸカーボン・エフィシェント指数,2567.T,JP
上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジなし,2568.T,JP
上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジあり,2569.T,JP
飛島ホールディングス,256A.T,JP
北海道コカ・コーラボトリング,2573.T,JP
コカ・コーラ　ボトラーズジャパンホールディングス,2579.T,JP
ＳＭＴ　ＥＴＦ日本株厳選投資アクティブ,257A.T,JP
ライフドリンク　カンパニー,2585.T,JP
フルッタフルッタ,2586.T,JP
サントリー食品インターナショナル,2587.T,JP
プレミアムウォーターホールディングス,2588.T,JP
ＳＭＴ　ＥＴＦ国内リート厳選投資アクティブ,258A.T,JP
ダイドーグループホールディングス,2590.T,JP
伊藤園,2593.T,JP
伊藤園第１種優先株式,25935.T,JP
キーコーヒー,2594.T,JP
ユニカフェ,2597.T,JP
日清オイリオグループ,2602.T,JP
不二製油グループ本社,2607.T,JP
オルツ,260A.T,JP
かどや製油,2612.T,JP
Ｊ－オイルミルズ,2613.T,JP
日水コン,261A.T,JP
ｉシェアーズ　米国債１－３年　ＥＴＦ,2620.T,JP
ｉシェアーズ　米国債２０年超　ＥＴＦ（為替ヘッジあり）,2621.T,JP
ｉシェアーズ　米ドル建て新興国債券　ＥＴＦ（為替ヘッジあり）,2622.T,JP
ｉシェアーズ　ユーロ建て投資適格社債　ＥＴＦ（為替ヘッジあり）,2623.T,JP
ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）,2624.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）,2625.T,JP
グローバルＸ　デジタル・イノベーション－日本株式　ＥＴＦ,2626.T,JP
グローバルＸ　ｅコマース－日本株式　ＥＴＦ,2627.T,JP
ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）,2628.T,JP
ｉＦｒｅｅＥＴＦ　中国グレーターベイエリア・イノベーション１００（ＧＢＡ１００）,2629.T,JP
インターメスティック,262A.T,JP
ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信（為替ヘッジあり）,2630.T,JP
ＭＡＸＩＳナスダック１００上場投信,2631.T,JP
ＭＡＸＩＳナスダック１００上場投信（為替ヘッジあり）,2632.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信,2633.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジあり）連動型上場投信,2634.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００スコアリング＆スクリーニング指数連動型上場投信,2635.T,JP
グローバルＸ　ＭＳＣＩ　ガバナンス・クオリティ－日本株式　ＥＴＦ,2636.T,JP
グローバルＸ　クリーンテック－日本株式　ＥＴＦ,2637.T,JP
グローバルＸ　ロボティクス＆ＡＩ－日本株式　ＥＴＦ,2638.T,JP
グローバルＸ　バイオ＆メドテック－日本株式　ＥＴＦ,2639.T,JP
デジタルキューブ,263A.T,JP
グローバルＸ　ゲーム＆アニメ－日本株式　ＥＴＦ,2640.T,JP
グローバルＸ　グローバルリーダーズ－日本株式　ＥＴＦ,2641.T,JP
ＳＭＴ　ＥＴＦカーボン・エフィシェント日本株,2642.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパンカントリー指数（セレクト）連動型上場投信,2643.T,JP
グローバルＸ　半導体関連－日本株式　ＥＴＦ,2644.T,JP
グローバルＸ　レジャー＆エンターテインメント－日本株式　ＥＴＦ,2645.T,JP
グローバルＸ　メタルビジネス－日本株式　ＥＴＦ,2646.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジなし）連動型上場投信,2647.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,2648.T,JP
ｉシェアーズ　米国政府系機関ジニーメイＭＢＳ　ＥＴＦ（為替ヘッジあり）,2649.T,JP
Ｓｃｈｏｏ,264A.T,JP
まんだらけ,2652.T,JP
イオン九州,2653.T,JP
アスモ,2654.T,JP
ベクターホールディングス,2656.T,JP
サンエー,2659.T,JP
Ｈｍｃｏｍｍ,265A.T,JP
カワチ薬品,2664.T,JP
オートウェーブ,2666.T,JP
イメージ　ワン,2667.T,JP
タビオ,2668.T,JP
カネ美食品,2669.T,JP
グローカルマーケティング,266A.T,JP
エービーシー・マート,2670.T,JP
夢みつけ隊,2673.T,JP
ハードオフコーポレーション,2674.T,JP
高千穂交易,2676.T,JP
アスクル,2678.T,JP
トワライズ,267A.T,JP
ゲオホールディングス,2681.T,JP
魚喜,2683.T,JP
アダストリア,2685.T,JP
ジーフット,2686.T,JP
シー・ヴイ・エス・ベイエリア,2687.T,JP
オルバヘルスケアホールディングス,2689.T,JP
リガク・ホールディングス,268A.T,JP
伊藤忠食品,2692.T,JP
ＹＫＴ,2693.T,JP
焼肉坂井ホールディングス,2694.T,JP
くら寿司,2695.T,JP
キャンドゥ,2698.T,JP
Ｓａｐｅｅｔ,269A.T,JP
木徳神糧,2700.T,JP
日本マクドナルドホールディングス,2702.T,JP
大戸屋ホールディングス,2705.T,JP
久世,2708.T,JP
アクセリア,271A.T,JP
